Player,Nation,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Matches,Playing Time_Mn/MP,Playing Time_Min%,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off
Dro Fernández,es ESP,MF,18-073,1,1,58.0,0.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,1.55,0.0,1.55,Matches,58.0,6.4,1,58.0,0,0,,4,3.0,2.0,1.0,1.0,1.55,0.27
Andreas Christensen,dk DEN,"DF,MF",29-350,4,0,57.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,14.0,6.3,0,,0,4,14.0,0,1.5,0.0,3.0,-3.0,-4.74,-6.45
Xavi Espart,es ESP,MF,18-309,2,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,14.0,3.1,0,,0,2,14.0,2,2.0,2.0,0.0,2.0,6.43,5.29
Eder Aller,es ESP,GK,18-356,0,0,,,,,,,,,,,,,,,,Matches,,,0,,0,0,,3,,,,,,
Alvaro Cortes,es ESP,DF,21-009,0,0,,,,,,,,,,,,,,,,Matches,,,0,,0,0,,2,,,,,,
Toni Fernández,es ESP,MF,17-254,0,0,,,,,,,,,,,,,,,,Matches,,,0,,0,0,,3,,,,,,
Gavi,es ESP,"FW,MF",21-233,0,0,,,,,,,,,,,,,,,,Matches,,,0,,0,0,,2,,,,,,
Juan Hernández,es ESP,FW,18-248,0,0,,,,,,,,,,,,,,,,Matches,,,0,,0,0,,2,,,,,,
Diego Kochen,us USA,GK,20-007,0,0,,,,,,,,,,,,,,,,Matches,,,0,,0,0,,9,,,,,,
Tomas Marques,es ESP,MF,19-147,0,0,,,,,,,,,,,,,,,,Matches,,,0,,0,0,,4,,,,,,
Daniel Rodriguez,es ESP,MF,20-229,0,0,,,,,,,,,,,,,,,,Matches,,,0,,0,0,,1,,,,,,
Marc-André ter Stegen,de GER,GK,33-330,0,0,,,,,,,,,,,,,,,,Matches,,,0,,0,0,,1,,,,,,
Jofre Torrents,es ESP,DF,19-057,0,0,,,,,,,,,,,,,,,,Matches,,,0,,0,0,,6,,,,,,
